à 'a functional
ç' 's 
çà 'sa functional
1er pR@-''mje 
# 1ere
a 'a 
ça 'sa 
a. 'a 
abaissé a-bE-'se 
abaissa a-bE-'sa 
abaissaient a-bE-'sE 
abaissait a-bE-'sE 
abaissant a-bE-'sa~ 
abaisse a-'bEs 
abaissée a-bE-'se 
abaissee a-bE-'si 
abaissees a-bE-'si 
abaissement a-bE-s@-'ma~ 
abaissements a-bE-s@-'ma~ 
abaissent a-'bEs 
abaisser a-bE-'se 
abaissera a-bE-s@-'Ra 
abaisseraient a-bE-s@-'RE 
abaisserait a-bE-s@-'RE 
abaisseront a-bE-s@-'Ro~ 
abaisses a-'bEs 
abaissées a-bE-'se 
abaissons a-bE-'so~ 
abaissés a-bE-'se 
abandon a-ba~-'do~ 
abandonné a-ba~-d0-'ne 
abandonna a-ba~-d0-'na 
abandonnaient a-ba~-d0-'nE 
abandonnait a-ba~-d0-'nE 
abandonnant a-ba~-d0-'na~ 
abandonnat a-ba~-d0-'na 
abandonne a-ba~-'d0n 
abandonnée a-ba~-d0-'ne 
abandonnee a-ba~-d0-'ni 
abandonnees a-ba~-d0-'ni 
abandonnent a-ba~-'d0n 
abandonner a-ba~-d0-'ne 
abandonnera a-ba~-d0-n@-'Ra 
abandonnerai a-ba~-d0-n@-'RE 
abandonneraient a-ba~-d0-n@-'RE 
abandonnerait a-ba~-d0-n@-'RE 
abandonnerent a-ba~-d0-n@-'Ra~ 
abandonnerons a-ba~-d0-n@-'Ro~ 
abandonneront a-ba~-d0-n@-'Ro~ 
abandonnes a-ba~-'d0n 
abandonnées a-ba~-d0-'ne 
abandonnez a-ba~-d0-'ne 
abandonnions a-ba~-d0n-'jo~ 
abandonnons a-ba~-d0-'no~ 
abandonnèrent a-ba~-d0-'nER 
abandonnés a-ba~-d0-'ne 
abandonnât a-ba~-d0-'na 
abandons a-ba~-'do~ 
abaque a-'bak 
abasourdi a-ba-zuR-'di 
abasourdie a-ba-zuR-'di 
abasourdies a-ba-zuR-'di 
abasourdis a-ba-zuR-'di 
abat a-'ba 
abatardi a-ba-taR-'di 
abatardie a-ba-taR-'di 
abatardir a-ba-taR-'diR 
abatardis a-ba-taR-'di 
abat-jour a-ba-'ZuR 
abats a-'ba 
abattage a-ba-'taZ 
abattages a-ba-'taZ 
abattaient a-ba-'tE 
abattait a-ba-'tE 
abattant a-ba-'ta~ 
abatte a-'bat 
abattement a-ba-t@-'ma~ 
abattements a-ba-t@-'ma~ 
abattent a-'bat 
abattez a-ba-'te 
abattirent a-ba-'tiR 
abattis a-ba-'ti 
abattit a-ba-'ti 
abattoir a-ba-'twaR 
abattoirs a-ba-'twaR 
abattra a-ba-'tRa 
abattraient a-ba-'tRE 
abattrait a-ba-'tRE 
abattre a-ba-'tR@ 
abattront a-ba-'tRo~ 
abattu a-ba-'ty 
abattue a-ba-'ty 
abattues a-ba-'ty 
abattus a-ba-'ty 
abbé a-'be 
abéba a-be-'ba 
abbas a-'bas 
abbatiale a-ba-'sjal 
abbatiales a-ba-'sjal 
abbaye a-bE-'i 
abbayes a-bE-'i 
abbe 'ab 
abbes 'ab 
abbesse a-'bEs 
abbesses a-'bEs 
abbés a-'be 
abc a-be-'se 
abécédaire a-be-se-'dER 
abécédaires a-be-se-'dER 
abces 'abs 
abéché a-be-'Se 
abcès a-'bsE 
abdallah a-bda-'la 
abdel a-'bdEl 
abdelkader a-bdel-ka-'dER 
abdellatif a-bde-la-'tif 
abdication a-bdi-ka-'sjo~ 
abdications a-bdi-ka-'sjo~ 
abdiqué a-bdi-'ke 
abdiqua a-bdi-'ka 
abdiquant a-bdi-'ka~ 
abdique a-'bdik 
abdiquent a-'bdik 
abdiquer a-bdi-'ke 
abdiquera a-bdi-k@-'Ra 
abdomen a-bd0-'mEn 
abdominale a-bd0-mi-'nal 
abdominales a-bd0-mi-'nal 
abdominaux a-bd0-mi-'no 
abdou a-'bdu 
abdul a-'bdul 
abe 'ab 
abeba a-be-'ba 
abecedaire a-b@-s@-'dER 
abecedaires a-b@-s@-'dER 
abeche a-'b@S 
abeille a-'bEj 
abeilles a-'bEj 
abel a-'bEl 
aber a-'bER 
aberdeen a-bER-'din 
aberrant a-bE-'Ra~ 
aberrante a-bE-'Ra~t 
aberrantes a-bE-'Ra~t 
aberrants a-bE-'Ra~ 
aberration a-bE-Ra-'sjo~ 
aberrations a-bE-Ra-'sjo~ 
abers a-'bER 
abetir a-b@-'tiR 
abhorré a-b0-'Re 
abhorrait a-b0-'RE 
abhorrant a-b0-'Ra~ 
abhorre a-'b0R 
abhorrée a-b0-'Re 
abhorree a-b0-'Ri 
abhorrees a-b0-'Ri 
abhorrent a-'b0R 
abhorres a-'b0R 
abhorrées a-b0-'Re 
abhorrés a-b0-'Re 
abidine a-bi-'din 
abidjan a-bi-'dZa~ 
abimait a-bi-'mE 
abime a-'bim 
abimee a-bi-'mi 
abimees a-bi-'mi 
abiment a-bi-'ma~ 
abimer a-bi-'me 
abimes a-'bim 
abject a-bZE-'kt@ 
abjecte a-bZE-'kt@ 
abjectes a-bZE-'kt@ 
abjection a-bZE-'ksjo~ 
abjections a-bZE-'ksjo~ 
abjects a-bZE-'kt@ 
abjuré a-bZy-'Re 
abjurant a-bZy-'Ra~ 
abjuration a-bZy-Ra-'sjo~ 
abjure a-'bZyR 
abjurer a-bZy-'Re 
ablation a-bla-'sjo~ 
ablations a-bla-'sjo~ 
ablettes a-'blEt 
ablution a-bly-'sjo~ 
ablutions a-bly-'sjo~ 
abîmé a-bi-'me 
abîmait a-bi-'mE 
abîme a-'bim 
abîmée a-bi-'me 
abîment a-'bim 
abîmer a-bi-'me 
abîmes a-'bim 
abîmées a-bi-'me 
abîmés a-bi-'me 
abnegation a-bn@-ga-'sjo~ 
abnégation a-bne-ga-'sjo~ 
aboie a-'bwa 
aboiement a-bwa-'ma~ 
aboiements a-bwa-'ma~ 
aboient a-'bwa 
abois a-'bwa 
aboli a-b0-'li 
abolie a-b0-'li 
abolies a-b0-'li 
abolir a-b0-'liR 
abolira a-b0-li-'Ra 
abolirait a-b0-li-'RE 
abolis a-b0-'li 
abolissait a-b0-li-'sE 
abolissant a-b0-li-'sa~ 
abolisse a-b0-'lis 
abolissent a-b0-'lis 
abolit a-b0-'li 
abolition a-b0-li-'sjo~ 
abolitionnisme a-b0-li-sj0-ni-'sm@ 
abolitionniste a-b0-li-sj0-nis-'t@ 
abolitionnistes a-b0-li-sj0-nis-'t@ 
abominable a-b0-mi-na-'bl@ 
abominablement a-b0-mi-na-bl@-'ma~ 
abominables a-b0-mi-na-'bl@ 
abomination a-b0-mi-na-'sjo~ 
abominations a-b0-mi-na-'sjo~ 
abondé a-bo~-'de 
abonda a-bo~-'da 
abondaient a-bo~-'dE 
abondait a-bo~-'dE 
abondamment a-bo~-da-'ma~ 
abondance a-bo~-'da~s 
abondances a-bo~-'da~s 
abondant a-bo~-'da~ 
abondante a-bo~-'da~t 
abondantes a-bo~-'da~t 
abondants a-bo~-'da~ 
abonde a-'bo~d 
abondent a-'bo~d 
abonder a-bo~-'de 
abondera a-bo~-d@-'Ra 
abonné a-b0-'ne 
abonnant a-b0-'na~ 
abonne a-'b0n 
abonnée a-b0-'ne 
abonnee a-b0-'ni 
abonnees a-b0-'ni 
abonnement a-b0-n@-'ma~ 
abonnements a-b0-n@-'ma~ 
abonnent a-'b0n 
abonner a-b0-'ne 
abonnes a-'b0n 
abonnées a-b0-'ne 
abonnés a-b0-'ne 
abord a-'b0R 
abordé a-b0R-'de 
aborda a-b0R-'da 
abordable a-b0R-da-'bl@ 
abordables a-b0R-da-'bl@ 
abordage a-b0R-'daZ 
abordages a-b0R-'daZ 
abordaient a-b0R-'dE 
abordait a-b0R-'dE 
abordant a-b0R-'da~ 
aborde a-b0R-'d@ 
abordée a-b0R-'de 
abordee a-b0R-'di 
abordees a-b0R-'di 
abordent a-b0R-'d@ 
aborder a-b0R-'de 
abordera a-b0R-d@-'Ra 
aborderai a-b0R-d@-'RE 
aborderait a-b0R-d@-'RE 
aborderent a-b0R-d@-'Ra~ 
aborderez a-b0R-d@-'Re 
aborderons a-b0R-d@-'Ro~ 
aborderont a-b0R-d@-'Ro~ 
abordes a-b0R-'d@ 
abordées a-b0R-'de 
abordez a-b0R-'de 
abordions a-b0R-'djo~ 
abordons a-b0R-'do~ 
abordèrent a-b0R-'dER 
abords a-'b0R 
abordés a-b0R-'de 
aborigene a-b0-Ri-'Z@n 
aborigenes a-b0-Ri-'Z@n 
aborigène a-b0-Ri-'ZEn 
aborigènes a-b0-Ri-'ZEn 
abortif a-b0R-'tif 
abortive a-b0R-'tiv 
abortives a-b0R-'tiv 
abou a-'bu 
aboulie a-bu-'li 
aboulique a-bu-'lik 
about a-'bu 
abouti a-bu-'ti 
aboutir a-bu-'tiR 
aboutira a-bu-ti-'Ra 
aboutiraient a-bu-ti-'RE 
aboutirait a-bu-ti-'RE 
aboutirent a-bu-'tiR 
aboutirons a-bu-ti-'Ro~ 
aboutiront a-bu-ti-'Ro~ 
aboutis a-bu-'ti 
aboutissaient a-bu-ti-'sE 
aboutissait a-bu-ti-'sE 
aboutissant a-bu-ti-'sa~ 
aboutissants a-bu-ti-'sa~ 
aboutisse a-bu-'tis 
aboutissement a-bu-ti-s@-'ma~ 
aboutissements a-bu-ti-s@-'ma~ 
aboutissent a-bu-'tis 
aboutissions a-bu-ti-'sjo~ 
aboutissons a-bu-ti-'so~ 
aboutit a-bu-'ti 
aboyait a-bwa-'jE 
aboyant a-bwa-'ja~ 
aboyer a-bwa-'je 
abracadabrant a-bRa-ka-da-'bRa~ 
abracadabrante a-bRa-ka-da-'bRa~t 
abracadabrantes a-bRa-ka-da-'bRa~t 
abracadabrants a-bRa-ka-da-'bRa~ 
abraham a-bRa-'am 
abrasif a-bRa-'zif 
abrasifs a-bRa-'zif 
abrasive a-bRa-'ziv 
abrege a-'bR@Z 
abregeant a-bR@-'Za~ 
abregee a-bR@-'Zi 
abregees a-bR@-'Zi 
abregent a-bR@-'Za~ 
abreger a-bR@-'Ze 
abreges a-'bR@Z 
abreuvé a-bR@-'ve 
abreuvaient a-bR@-'vE 
abreuvait a-bR@-'vE 
abreuvant a-bR@-'va~ 
abreuve a-'bR9v 
abreuvée a-bR@-'ve 
abreuvee a-bR@-'vi 
abreuvent a-'bR9v 
abreuver a-bR@-'ve 
abreuves a-'bR9v 
abreuvoir a-bR@-'vwaR 
abreuvoirs a-bR@-'vwaR 
abreuvés a-bR@-'ve 
abreviation a-bR@-vja-'sjo~ 
abreviations a-bR@-vja-'sjo~ 
abrégé a-bRe-'Ze 
abrège a-'bREZ 
abrégée a-bRe-'Ze 
abrégeant a-bRe-'Za~ 
abrègent a-'bREZ 
abréger a-bRe-'Ze 
abrégées a-bRe-'Ze 
abrégés a-bRe-'Ze 
abri a-'bRi 
abribus a-bRi-'bys 
abricot a-bRi-'ko 
abricotier a-bRi-k0t-'je 
abricotiers a-bRi-k0t-'je 
abricots a-bRi-'ko 
abris a-'bRi 
abrité a-bRi-'te 
abrita a-bRi-'ta 
abritaient a-bRi-'tE 
abritait a-bRi-'tE 
abritant a-bRi-'ta~ 
abrite a-'bRit 
abritée a-bRi-'te 
abritee a-bRi-'ti 
abritees a-bRi-'ti 
abritent a-'bRit 
abriter a-bRi-'te 
abritera a-bRi-t@-'Ra 
abriteraient a-bRi-t@-'RE 
abriterait a-bRi-t@-'RE 
abriterent a-bRi-t@-'Ra~ 
abriteront a-bRi-t@-'Ro~ 
abrites a-'bRit 
abritées a-bRi-'te 
abritèrent a-bRi-'tER 
abrités a-bRi-'te 
abrogé a-bR0-'Ze 
abrogatif a-bR0-ga-'tif 
abrogation a-bR0-ga-'sjo~ 
abroge a-'bR0Z 
abrogée a-bR0-'Ze 
abrogeait a-bR0-'ZE 
abrogeant a-bR0-'Za~ 
abrogee a-bR0-'Zi 
abrogees a-bR0-'Zi 
abrogent a-'bR0Z 
abroger a-bR0-'Ze 
abrogera a-bR0-Z@-'Ra 
abrogerait a-bR0-Z@-'RE 
abroges a-'bR0Z 
abrogées a-bR0-'Ze 
abrogés a-bR0-'Ze 
abrupt a-'bRypt 
abrupte a-'bRypt 
abruptement a-bRy-pt@-'ma~ 
abruptes a-'bRypt 
abrupts a-'bRypt 
abruti a-bRy-'ti 
abrutie a-bRy-'ti 
abruties a-bRy-'ti 
abrutir a-bRy-'tiR 
abrutis a-bRy-'ti 
abrutissant a-bRy-ti-'sa~ 
abrutissement a-bRy-ti-s@-'ma~ 
abrutit a-bRy-'ti 
abréviation a-bRe-vja-'sjo~ 
abréviations a-bRe-vja-'sjo~ 
abscisse a-'psis 
abscons a-'psko~ 
absconse a-'psko~s 
absconses a-'psko~s 
absence a-'psa~s 
absences a-'psa~s 
absent a-'psa~ 
absenté a-psa~-'te 
absenta a-psa~-'ta 
absentait a-psa~-'tE 
absentant a-psa~-'ta~ 
absente a-'psa~t 
absenteisme a-psa~-tE-'sm@ 
absentent a-'psa~t 
absenter a-psa~-'te 
absentes a-'psa~t 
absentéisme a-psa~-te-i-'sm@ 
absents a-'psa~ 
absentés a-psa~-'te 
abside a-'psid 
absides a-'psid 
absinthe a-'pse~t 
absinthes a-'pse~t 
absolu a-ps0-'ly 
absolue a-ps0-'ly 
absolues a-ps0-'ly 
absolument a-ps0-ly-'ma~ 
absolus a-ps0-'ly 
absolution a-ps0-ly-'sjo~ 
absolutisme a-ps0-ly-ti-'sm@ 
absolutismes a-ps0-ly-ti-'sm@ 
absolutiste a-ps0-ly-tis-'t@ 
absolutistes a-ps0-ly-tis-'t@ 
absolvant a-ps0l-'va~ 
absolvent a-'ps0lv 
absorbé a-ps0R-'be 
absorba a-ps0R-'ba 
absorbaient a-ps0R-'bE 
absorbait a-ps0R-'bE 
absorbant a-ps0R-'ba~ 
absorbe a-ps0R-'b@ 
absorbée a-ps0R-'be 
absorbee a-ps0R-'bi 
absorbees a-ps0R-'bi 
absorbent a-ps0R-'b@ 
absorber a-ps0R-'be 
absorbera a-ps0R-b@-'Ra 
absorberait a-ps0R-b@-'RE 
absorberont a-ps0R-b@-'Ro~ 
absorbes a-ps0R-'b@ 
absorbées a-ps0R-'be 
absorbés a-ps0R-'be 
absorption a-ps0R-'psjo~ 
absorptions a-ps0R-'psjo~ 
absoudre a-psu-'dR@ 
absous a-'psu 
absout a-'psu 
absoute a-'psut 
abstenaient a-pst@-'nE 
abstenait a-pst@-'nE 
abstenant a-pst@-'na~ 
abstenir a-pst@-'niR 
abstenons a-pst@-'no~ 
abstention a-psta~-'sjo~ 
abstentionnisme a-psta~-sj0-ni-'sm@ 
abstentionniste a-psta~-sj0-nis-'t@ 
abstentionnistes a-psta~-sj0-nis-'t@ 
abstentions a-psta~-'sjo~ 
abstenu a-pst@-'ny 
abstenue a-pst@-'ny 
abstenues a-pst@-'ny 
abstenus a-pst@-'ny 
abstiendra a-pstje~-'dRa 
abstiendrai a-pstje~-'dRE 
abstiendraient a-pstje~-'dRE 
abstiendrait a-pstje~-'dRE 
abstiendrons a-pstje~-'dRo~ 
abstiendront a-pstje~-'dRo~ 
abstienne a-'pstjEn 
abstiennent a-'pstjEn 
abstiens a-'pstje~ 
abstient a-'pstje~ 
abstinence a-psti-'na~s 
abstinents a-psti-'na~ 
abstinrent a-'pste~R 
abstint a-'pste~ 
abstraction a-pstRa-'ksjo~ 
abstractions a-pstRa-'ksjo~ 
abstraire a-'pstRER 
abstrait a-'pstRE 
abstraite a-'pstREt 
abstraitement a-pstRE-t@-'ma~ 
abstraites a-'pstREt 
abstraits a-'pstRE 
absurde a-psyR-'d@ 
absurdement a-psyR-d@-'ma~ 
absurdes a-psyR-'d@ 
absurdité a-psyR-di-'te 
absurdite a-psyR-'dit 
absurdites a-psyR-'dit 
absurdités a-psyR-di-'te 
abâtardi a-ba-taR-'di 
abâtardie a-ba-taR-'di 
abâtardir a-ba-taR-'diR 
abâtardis a-ba-taR-'di 
abêtir a-be-'tiR 
abus a-'by 
abusé a-by-'ze 
abusa a-by-'za 
abusaient a-by-'zE 
abusait a-by-'zE 
abusant a-by-'za~ 
abuse a-'byz 
abusée a-by-'ze 
abusee a-by-'zi 
abusees a-by-'zi 
abusent a-'byz 
abuser a-by-'ze 
abusera a-by-z@-'Ra 
abuserait a-by-z@-'RE 
abuserent a-by-z@-'Ra~ 
abuses a-'byz 
abusées a-by-'ze 
abusif a-by-'zif 
abusifs a-by-'zif 
abusive a-by-'ziv 
abusivement a-by-zi-v@-'ma~ 
abusives a-by-'ziv 
abusons a-by-'zo~ 
abusèrent a-by-'zER 
abusés a-by-'ze 
abyssal a-bi-'sal 
abyssale a-bi-'sal 
abyssales a-bi-'sal 
abyssaux a-bi-'so 
abysse a-'bis 
abysses a-'bis 
abyssin a-bi-'se~ 
abyssins a-bi-'se~ 
acabit a-ka-'bi 
acabits a-ka-'bi 
acacia a-ka-'sja 
acacias a-ka-'sja 
academicien a-ka-d@-mi-'sje~ 
academicienne a-ka-d@-mi-'sjEn 
academiciens a-ka-d@-mi-'sje~ 
academie a-ka-d@-'mi 
academies a-ka-d@-'mi 
academique a-ka-d@-'mik 
academiques a-ka-d@-'mik 
academisme a-ka-d@-mi-'sm@ 
academismes a-ka-d@-mi-'sm@ 
acadien a-ka-'dje~ 
acadienne a-ka-'djEn 
acadiennes a-ka-'djEn 
acadiens a-ka-'dje~ 
académicien a-ka-de-mi-'sje~ 
académicienne a-ka-de-mi-'sjEn 
académiciens a-ka-de-mi-'sje~ 
académie a-ka-de-'mi 
académies a-ka-de-'mi 
académique a-ka-de-'mik 
académiques a-ka-de-'mik 
académisme a-ka-de-mi-'sm@ 
académismes a-ka-de-mi-'sm@ 
acajou a-ka-'Zu 
acanthe a-'ka~t 
acanthes a-'ka~t 
acapulco a-ka-pyl-'ko 
acariatre a-ka-Rja-'tR@ 
acariatres a-ka-Rja-'tR@ 
acarien a-ka-'Rje~ 
acariens a-ka-'Rje~ 
acariâtre a-ka-Rja-'tR@ 
acariâtres a-ka-Rja-'tR@ 
accablé a-ka-'ble 
accabla a-ka-'bla 
accablaient a-ka-'blE 
accablait a-ka-'blE 
accablant a-ka-'bla~ 
accablante a-ka-'bla~t 
accablantes a-ka-'bla~t 
accablants a-ka-'bla~ 
accable a-ka-'bl@ 
accablée a-ka-'ble 
accablee a-ka-'bli 
accablees a-ka-'bli 
accablent a-ka-'bl@ 
accabler a-ka-'ble 
accablera a-ka-bl@-'Ra 
accablerait a-ka-bl@-'RE 
accablerent a-ka-bl@-'Ra~ 
accables a-ka-'bl@ 
accablées a-ka-'ble 
accablez a-ka-'ble 
accablons a-ka-'blo~ 
accablèrent a-ka-'blER 
accablés a-ka-'ble 
accalmie a-ka-'lmi 
accalmies a-ka-'lmi 
accaparé a-ka-pa-'Re 
accaparait a-ka-pa-'RE 
accaparant a-ka-pa-'Ra~ 
accapare a-ka-'paR 
accaparée a-ka-pa-'Re 
accaparee a-ka-pa-'Ri 
accaparees a-ka-pa-'Ri 
accaparement a-ka-pa-R@-'ma~ 
accaparent a-ka-'paR 
accaparer a-ka-pa-'Re 
accapares a-ka-'paR 
accaparées a-ka-pa-'Re 
accaparés a-ka-pa-'Re 
accardo a-kaR-'do 
accastillage a-kas-ti-'jaZ 
accédé a-kse-'de 
