#######################
##
## License goes here
##
#######################
a	A
aacht	a:Xt
aachte	a:Xt@
aachten	a:Xt@n
aangel	a:N@l
aangelkreepche	a:N@lkRe:ps\@
aangelkreepchen	a:N@lkRe:ps\@n
aarbecht	a:Rb@s\t
aarbechter	a:Rb@s\t6
aarbechterinne	a:Rb@s\t@Rin@
aarbechtskolleeginne	a:Rb@s\tskole:z\in@
aarbechtskolleg	a:Rb@s\tskole:s\
aarbechtskolleginne	a:Rb@s\tskole:z\in@
aarbechtslost	a:Rb@s\tslo:st
aarbechtsministär	a:Rb@s\tsministE:R
aarbechtsplaz	a:Rb@s\tspla:ts
aarbechtszäit	a:Rb@s\tsts{:It
aarm	a:Rm
aarmbandauer	a:RmbAndAU6
aarme	a:Rm@
aarmséileg	a:Rms3Il@s\
aarmutsituatiounen	a:Rmutzitwa:tsj@Un@n
aarmutsrisiko	a:RmutsRiziko:
aarmutt	a:Rmut
aart	a:Rt
aartlech	a:Rtl@s\
aascht	a:St
aaxt	a:kst
abatjour	Aba:Zu:R
abattement	AbAt@mA~:
abattemente	AbAt@mA~:@
abattementen	AbAt@mA~:@n
abberzuel	Ab6tsu@l
abc	a:be:tse:
abee	Abe:
abegräife	Ab@gR{:If@
abegräifen	Ab@gR{:If@n
abendmahl	a:b@ntma:l
abenteuer	a:b@ntoI6
abezuele	Ab@tsu@l@
abezuelen	Ab@tsu@l@n
abgöttesch	Abg2t@S
abiméiere	Abim3I@R@
abiméieren	Abim3I@R@n
abléck	Ablek
abonnentinne	Abon{ntin@
abrëll	AbR@l
abrëllsgeck	AbR@lsg{k
abriecherinne	AbRi@s\@Rin@
abroch	AbRoX
abscheilech	ApSAIl@s\
absenteismus	Abz{nte:ismus
absichtlech	Apzis\tl@s\
absolutt	Apzolut
absolventinne	Abzolv{ntin@
abstraéiert	AbstRA3I6t
abstraéiertes	AbstRA3I6t@s
abstrakt	AbstRAkt
absurd	ApzuRt
äbtissinne	{ptisin@
abus	Aby:
abuse	Aby:@
abusen	Aby:@n
acceleratioun	Aksel@RAtsj@Un
acceleratiounen	Aks{l@Ra:tsj@Un@n
acceleréier	Aksel@R3I6
acceleréiere	Aksel@R3I@R@
accent	AksA~:
accentuéier	AksA~:ty3I6
accentuéiere	AksA~:ty3I@R@
accentuéieren	AksA~:ty3I@R@n
accès	AksE:
accèse	AksE:@
accèsen	AksE:@n
accessibeles	Aks{sib@l@s
accident	Aksid{nt
accisë	Aksi:z@
accisen	Aksi:z@n
accord	AkO:R
accouchéiere	AkuS3I@R@
accouchéieren	AkuS3I@R@n
accouchement	AkuS@m{nt
accroc	AkRo:
accueil	Ak9j
accueile	Ak9j@
accueilen	Ak9j@n
accumuléiere	Akymyl3I@R@
accumuléieren	Akymyl3I@R@n
achterbunn	AXt6bun
achtkanteges	AXtkAnt@z\@s
achzeg	AXts@s\
acompte	AkA~:nt
acomptë	AkA~:nt@
acompten	AkA~:nt@n
acompter	AkA~:nt6
acquis	Aki:
acquise	Aki:@
acquisen	Aki:@n
acquisitioun	Akizitsj@Un
acquittéiere	Akit3I@R@
acteur	Akt9:R
acteure	Akt9:R@
actionnairinne	Aksjo:nE:Rin@
äddi	{di:
äddie	{di:@
äddien	{di:@n
adeleg	a:d@l@s\
adelege	a:d@l@z\@
adequaatst	Adekwa:tst
adequaatste	Adekwa:tst@
adhésioun	Athe:zj@Un
adjektiv	Atjekti:f
adjoint	AdZwE~:
adjointë	AdZwE~:@
adjointe	AdZwE~:nt
adjointeë	AdZwE~:nt@
adjointeën	AdZwE~:nt@n
adjointen	AdZwE~:@n
adjutant	AdZu:tAnt
adjutante	AdZu:tAnt@
adjutanten	AdZu:tAnt@n
adjutantin	AdZu:tAntin
adjutantinne	Adju:tAntin@
adjutantinne	AdZu:tAntin@
