2012-06-01 13:37:51,563 [main] INFO  marytts.main Mary starting up...
2012-06-01 13:37:51,564 [main] INFO  marytts.main Specification version 5.0-SNAPSHOT
2012-06-01 13:37:51,564 [main] INFO  marytts.main Implementation version unknown
2012-06-01 13:37:51,564 [main] INFO  marytts.main Running on a Java 1.6.0_31 implementation by Apple Inc., on a Mac OS X platform (x86_64, 10.6.8)
2012-06-01 13:37:51,689 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2012-06-01 13:37:51,695 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2012-06-01 13:37:51,695 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2012-06-01 13:37:51,696 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2012-06-01 13:37:51,696 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2012-06-01 13:37:51,697 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2012-06-01 13:37:51,697 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2012-06-01 13:37:51,698 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2012-06-01 13:37:51,700 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2012-06-01 13:37:51,701 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2012-06-01 13:37:51,702 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2012-06-01 13:37:51,702 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2012-06-01 13:37:51,704 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2012-06-01 13:37:51,704 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2012-06-01 13:37:51,704 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2012-06-01 13:37:51,705 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2012-06-01 13:37:51,713 [main] INFO  marytts.UnitSelectionSynthesizer started.
2012-06-01 13:37:51,714 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2012-06-01 13:37:51,714 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2012-06-01 13:37:51,714 [main] INFO  marytts.HMMSynthesizer started.
2012-06-01 13:37:51,714 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2012-06-01 13:37:51,718 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2012-06-01 13:37:51,719 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2012-06-01 13:37:51,719 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2012-06-01 13:37:51,721 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2012-06-01 13:37:51,927 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2012-06-01 13:37:51,927 [main] INFO  marytts.SableParser Starting power-on self test.
2012-06-01 13:37:51,928 [main] INFO  marytts.SableParser Power-on self test complete.
2012-06-01 13:37:52,109 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2012-06-01 13:37:52,109 [main] INFO  marytts.SSMLParser Starting power-on self test.
2012-06-01 13:37:52,109 [main] INFO  marytts.SSMLParser Power-on self test complete.
2012-06-01 13:37:52,206 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2012-06-01 13:37:52,206 [main] INFO  marytts.APMLParser Starting power-on self test.
2012-06-01 13:37:52,206 [main] INFO  marytts.APMLParser Power-on self test complete.
2012-06-01 13:37:52,207 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2012-06-01 13:37:52,346 [main] INFO  marytts.JTokeniser Starting power-on self test.
2012-06-01 13:37:52,347 [main] INFO  marytts.JTokeniser Power-on self test complete.
2012-06-01 13:37:52,347 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2012-06-01 13:37:52,347 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2012-06-01 13:37:52,347 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2012-06-01 13:37:52,394 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2012-06-01 13:37:52,394 [main] INFO  marytts.Prosody Starting power-on self test.
2012-06-01 13:37:52,394 [main] INFO  marytts.Prosody Power-on self test complete.
2012-06-01 13:37:52,394 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2012-06-01 13:37:52,394 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2012-06-01 13:37:52,395 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2012-06-01 13:37:52,395 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2012-06-01 13:37:52,395 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2012-06-01 13:37:52,395 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2012-06-01 13:37:52,395 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2012-06-01 13:37:52,395 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2012-06-01 13:37:52,395 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2012-06-01 13:37:52,395 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2012-06-01 13:37:52,395 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2012-06-01 13:37:52,395 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2012-06-01 13:37:52,395 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2012-06-01 13:37:52,396 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2012-06-01 13:37:52,396 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2012-06-01 13:37:52,396 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2012-06-01 13:37:52,396 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2012-06-01 13:37:52,396 [main] INFO  marytts.Praat TextGrid generator Module started (AUDIO->PRAAT_TEXTGRID, locale null).
2012-06-01 13:37:52,396 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2012-06-01 13:37:52,396 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2012-06-01 13:37:52,397 [main] INFO  marytts.main Startup complete.
2012-06-01 13:37:52,400 [Thread-3] INFO  marytts.main Shutting down modules...
2012-06-01 13:37:52,400 [Thread-3] INFO  marytts.Synthesis Module shut down.
2012-06-01 13:37:52,400 [Thread-3] INFO  marytts.TextToMaryXML Module shut down.
2012-06-01 13:37:52,400 [Thread-3] INFO  marytts.SableParser Module shut down.
2012-06-01 13:37:52,400 [Thread-3] INFO  marytts.SSMLParser Module shut down.
2012-06-01 13:37:52,400 [Thread-3] INFO  marytts.APMLParser Module shut down.
2012-06-01 13:37:52,400 [Thread-3] INFO  marytts.JTokeniser Module shut down.
2012-06-01 13:37:52,400 [Thread-3] INFO  marytts.DummyTokens2Words Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.Prosody Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.PronunciationModel Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.TargetFeatureLister Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.TargetFeatureLister Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.AcousticModeller Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.Realised acoustparams extractor Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.Realised durations extractor Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.HTSEngine Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.Praat TextGrid generator Module shut down.
2012-06-01 13:37:52,401 [Thread-3] INFO  marytts.main Shutdown complete.
